Text,Class
ಭಾರತ ಕ್ರಿಕೆಟ್ ಪಂದ್ಯದಲ್ಲಿ ಇಂಗ್ಲೆಂಡ್ ವಿರುದ್ಧ ಸೋತಿತು,0
ಕ್ಯಾಬ್ ಡ್ರೈವರ್ ನನ್ನನ್ನು ಕ್ಯಾಬ್ ಸವಾರಿಯ ಮಧ್ಯದಲ್ಲಿ ಇಳಿಸಿದನು,0
ನಾನು ಜೀವನದಿಂದ ಬೇಸರಗೊಂಡಿದ್ದೇನೆ,0
ನಾನು ಇದೀಗ ತುಂಬಾ ಹಸಿದಿದ್ದೇನೆ,0
ಚಿತ್ರ ನೀರಸವಾಗಿತ್ತು,0
ಚಿತ್ರದ ಟಿಕೆಟ್‌ಗಳು ನೀರಸವಾಗಿತ್ತು,0
ಅವನು ತನ್ನ ಕೋಪಕ್ಕೆ ಹೆಸರುವಾಸಿಯಾಗಿದ್ದಾನೆ,2
ನಟನ ನಡವಳಿಕೆಯನ್ನು ಜನರು ತುಂಬಾ ನೋಯಿಸುತ್ತಾರೆ,0
ನಾನು ಇದೀಗ ತುಂಬಾ ನೋವಿನಲ್ಲಿದ್ದೇನೆ,0
ನನ್ನ ಖಾತೆಗೆ ಹಣ ಡೆಬಿಟ್ ಆಗಿಲ್ಲ.,0
ನನ್ನ ಸ್ನೇಹಿತ ನನ್ನನ್ನು ಇತರರ ಮುಂದೆ ಅವಮಾನಿಸಿದ,0
ಅವನು ಬಡವನ ಮೇಲೆ ನಿಂದನೆಗಳನ್ನು ಎಸೆದನು,0
ಇದು ಮೊದಲು ಸಂಭವಿಸಿದೆ ಎಂದು ನಾನು ಬಯಸುತ್ತೇನೆ,0
ನನ್ನ ಸಮಸ್ಯೆ ನಿನಗೆ ಏಕೆ ಅರ್ಥವಾಗುತ್ತಿಲ್ಲ?,0
ನಾನು ಹಲವಾರು ಬಾರಿ ಪುನರಾವರ್ತಿಸಿದ್ದೇನೆ,0
ನಿನಗೇನು ಹುಚ್ಚ?,0
ನೀವು ತುಂಬಾ ಬೇಜವಾಬ್ದಾರಿ,0
ಈಗಿನ ಪೀಳಿಗೆಗೆ ಹಿರಿಯರ ಬಗ್ಗೆ ಗೌರವವಿಲ್ಲ,0
ನಾನು ಇನ್ನು ಮುಂದೆ ನಿಮ್ಮೊಂದಿಗೆ ಮಾತನಾಡಲು ಬಯಸುವುದಿಲ್ಲ,0
ನೀನು ದೊಡ್ಡ ಮೂರ್ಖ,0
ವೆಬ್‌ಸೈಟ್ ತುಂಬಾ ನಿಧಾನವಾಗಿದೆ,0
ಮ್ಯಾನೇಜರ್ ಯಾವುದೇ ಕಾರಣವಿಲ್ಲದೆ ಬೇಗನೆ ಕೋಪಗೊಳ್ಳುತ್ತಾನೆ,0
ವೈದ್ಯರು ನನ್ನ ಅನಾರೋಗ್ಯವನ್ನು ಸರಿಯಾದ ಸಮಯದಲ್ಲಿ ಪತ್ತೆಹಚ್ಚಲಿಲ್ಲ,0
ಸಿಬ್ಬಂದಿ ನಮ್ಮನ್ನು ಬಹಳ ಹೊತ್ತು ಕಾಯುವಂತೆ ಮಾಡಿದರು,0
ನೀವು ಎಷ್ಟು ಬಾರಿ ಹೇಳುತ್ತೀರಿ?,0
ನೀವು ತುಂಬಾ ಕೃತಘ್ನ ವ್ಯಕ್ತಿ,0
ನಿಮಗೆ ಏನೂ ಅರ್ಥವಾಗುತ್ತಿಲ್ಲ,0
ನೀನೋಬ್ಬ ಸುಳ್ಳುಗಾರ,0
ಸಾಗಣೆಯ ಸಮಯದಲ್ಲಿ ಪ್ಯಾಕೇಜ್ ಕಳೆದುಹೋಗಿದೆ,0
ನಿಮ್ಮ ಬಗ್ಗೆ ನೀವು ಏನು ಯೋಚಿಸುತ್ತೀರಿ?,0
ಆ ವ್ಯಕ್ತಿ ಅವಳ ಪರ್ಸ್ ಕದ್ದ,0
ಅವಳು ಮನರಂಜನಾ ಉದ್ದೇಶಗಳಿಗಾಗಿ ನನ್ನ ಖಾತೆಯನ್ನು ದುರುಪಯೋಗಪಡಿಸಿಕೊಂಡಳು,0
ನಾನು ಇನ್ನು ಮುಂದೆ ಅವಳನ್ನು ನಂಬುವುದಿಲ್ಲ,0
ಅವರು ಇತರರ ಅನುಪಸ್ಥಿತಿಯಲ್ಲಿ ಅವರ ಬಗ್ಗೆ ಕೆಟ್ಟ ವಿಷಯಗಳನ್ನು ಮಾತನಾಡುತ್ತಾರೆ,0
ಯಾವುದೇ ಸಹಾಯವಿಲ್ಲದೆ ನೀವು ಒಂದೇ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಉತ್ತೀರ್ಣರಾಗಲು ಸಾಧ್ಯವಿಲ್ಲ,0
ನೀನು ನನಗೆ ಹಾಗೆ ಹೇಳಬಾರದಿತ್ತು,0
ನೀವು ನಮ್ಮನ್ನು ಹುಚ್ಚರನ್ನಾಗಿ ಮಾಡುತ್ತೀರಿ,0
ಅವಳ ನಡವಳಿಕೆ ತುಂಬಾ ಕೆಟ್ಟದಾಗಿದೆ,0
ನಿನ್ನಿಂದಾಗಿ ನಾನು ನನ್ನ ಫೋನ್ ಕಳೆದುಕೊಂಡೆ,0
ಅವಳು ತನ್ನ ಏಕೈಕ ಮಗುವನ್ನು ತೊರೆದಳು,0
ಅವನು ಬಹಳಷ್ಟು ಹಣವನ್ನು ಖರ್ಚು ಮಾಡುತ್ತಾನೆ,0
ಅವನ ವರ್ತನೆ ಕೆಟ್ಟದಾಗಿದೆ,0
ಅವನು ಇತರರೊಂದಿಗೆ ಮಾತನಾಡುವ ರೀತಿ ಅಹಿತಕರವಾಗಿರುತ್ತದೆ,0
ಅವನು ಕೋಪಗೊಂಡಿದ್ದಾನೆ,0
ಏನಾಯಿತು ಎಂದು ಅವಳು ಕೋಪಗೊಂಡಿದ್ದಾಳೆ,0
ಅವಳು ವಯಸ್ಸಾದ ಕಾರಣ ಅವಳ ಮಗ ಅವಳನ್ನು ತೊರೆದನು,0
ನೀವು ವಿನಾಕಾರಣ ಏಕೆ ಜಗಳ ಮಾಡುತ್ತಿದ್ದೀರಿ?,0
ಅವರು ನಮಗೆ ಸುಳ್ಳು ಹೇಳಿದರು,0
ರಾಜನು ನನ್ನ ಆತ್ಮೀಯ ಸ್ನೇಹಿತನನ್ನು ವಂಚಿಸಿದನು,0
ಆ ಹೋಟೆಲ್ ಕೆಟ್ಟದಾಯಿತು,3
ಅದು ಕೆಟ್ಟ ಕ್ಯಾಬ್ ರೈಡ್ ಆಗಿತ್ತು,3
ನನ್ನ ನಾಯಿ ನಿನ್ನೆ ಸತ್ತುಹೋಯಿತು,3
ಕ್ಯಾಬ್‌ನ ಒಳಭಾಗ ತುಂಬಾ ಕೊಳಕಾಗಿತ್ತು,3
ಹೊಟೇಲ್‌ನಲ್ಲಿದ್ದವರ ವರ್ತನೆ ಕೆಟ್ಟದಾಗಿತ್ತು,3
ನಾವು ಅಗ್ಗದ ವಿಮಾನವನ್ನು ಬುಕ್ ಮಾಡಬಹುದಿತ್ತು,3
ನನ್ನ ಸಹೋದರ ಕಾರು ಅಪಘಾತದಲ್ಲಿ ನಿಧನರಾದರು,3
ನಾನು ಪರೀಕ್ಷೆಯಲ್ಲಿ ಅನುತ್ತೀರ್ಣನಾದೆ,3
ನಮ್ಮ ನೆರೆಹೊರೆಯವರು ಅಪಘಾತವನ್ನು ಎದುರಿಸಿದರು,3
ನಾವು ಹೋಟೆಲ್‌ನಲ್ಲಿ ಮೋಜು ಮಾಡಲಿಲ್ಲ,3
ಸುಂಟರಗಾಳಿಯು ಗ್ರಾಮಸ್ಥರ ಮೇಲೆ ದುಃಖ ತಂದಿತು,3
ನಾವು ಮೋಜು ಮಾಡಲಿಲ್ಲ,3
ನಾನು ಖಿನ್ನತೆಗೆ ಒಳಗಾಗಿದ್ದೇನೆ,3
ನನಗೆ ದುಖಃವಾಗಿದೆ,3
ಅವನು ಖಿನ್ನತೆಗೆ ಒಳಗಾಗಿದ್ದಾನೆ,3
ಅವಳು ಮಾರಣಾಂತಿಕ ಕಾಯಿಲೆಯಿಂದ ಬಳಲುತ್ತಿದ್ದಾಳೆ,3
ನಾನು ನನ್ನ ನೆಚ್ಚಿನ ಉಂಗುರವನ್ನು ಕಳೆದುಕೊಂಡೆ,3
ಅವನು ತನ್ನ ನಾಯಿಯನ್ನು ಕಳೆದುಕೊಂಡನು,3
ಯಾರೋ ನನ್ನ ಎಲ್ಲಾ ಹಣವನ್ನು ಕದ್ದಿದ್ದಾರೆ,3
ನಿಮ್ಮ ಮೇಲೆ ನಮಗೆ ಭರವಸೆ ಇಲ್ಲ,3
ನಾವು ನಿಮ್ಮ ಮೇಲಿನ ನಂಬಿಕೆಯನ್ನು ಕಳೆದುಕೊಂಡಿದ್ದೇವೆ,3
ನನ್ನ ತಾಯಿ ನನ್ನನ್ನು ಗದರಿಸಿದಳು,3
ಸೇವೆ ಕೆಟ್ಟದಾಗಿತ್ತು,3
ಸ್ಥಳವು ತುಂಬಾ ಕೊಳಕಾಗಿತ್ತು,3
ಇಂದು ತರಗತಿಯಲ್ಲಿ ನನಗೆ ಶಿಕ್ಷೆಯಾಯಿತು,3
ನಾವು ಇದನ್ನು ನಿಮ್ಮಿಂದ ನಿರೀಕ್ಷಿಸಿರಲಿಲ್ಲ,3
ಇದು ಕೆಲಸ ಮಾಡುವುದನ್ನು ನಿಲ್ಲಿಸಿತು,3
ನನ್ನ ಅದೃಷ್ಟ ಕೆಟ್ಟದಾಗಿದೆ,3
ನೀವು ಯಾವಾಗಲೂ ಏಕೆ ತಡವಾಗಿರುತ್ತೀರಿ?,3
ನನ್ನ ವಿಮಾನ ತಡವಾಯಿತು,3
ಅವಳು ನನ್ನೊಂದಿಗೆ ಬೇರ್ಪಟ್ಟಳು,3
ನಾನು ಮಗುವಾಗಿದ್ದಾಗ ನನ್ನ ತಾಯಿ ನನ್ನನ್ನು ತೊರೆದರು,3
ಅವನಿಗೆ ನ್ಯಾಯ ಸಿಗಲಿಲ್ಲ,3
ನನ್ನ ಸಂಬಳ ತುಂಬಾ ಕಡಿಮೆ,3
ಸಮಯಕ್ಕೆ ಕ್ಯಾಬ್ ಬರಲಿಲ್ಲ,3
ನಾವು ಅವನನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ,3
ಹೋಟೆಲ್‌ನಲ್ಲಿ ವಾಸ್ತವ್ಯ ಕೆಟ್ಟಿತ್ತು,3
ಅವರು ಅಪಘಾತವನ್ನು ಎದುರಿಸಿದರು,3
ನನ್ನ ಹೆಂಡತಿ ಪ್ರಾಣ ಕಳೆದುಕೊಂಡಳು,3
ಅಪ್ಲಿಕೇಶನ್ ಅಷ್ಟು ಉತ್ತಮವಾಗಿಲ್ಲ,3
ನಾವು ಅಪಘಾತವನ್ನು ಎದುರಿಸಿದ್ದೇವೆ,3
ಹವಾಮಾನದಿಂದಾಗಿ ನಾನು ಭಯಂಕರವಾಗಿ ಅಸ್ವಸ್ಥನಾಗಿದ್ದೆ,3
ಅವಳ ಎಲ್ಲಾ ಮಕ್ಕಳು ಬೆಂಕಿಯಲ್ಲಿ ಸತ್ತರು,3
ನಾನು ಅಸ್ವಸ್ಥನಾಗಿದ್ದೇನೆ,3
ಇದು ಮೊದಲು ಸಂಭವಿಸಿದೆ ಎಂದು ನಾನು ಬಯಸುತ್ತೇನೆ,3
ನೀವು ತಡವಾಗಿ ಬಂದಿದ್ದೀರಿ,3
ನಾವು ಅಂತ್ಯಕ್ರಿಯೆಯಲ್ಲಿ ಭಾಗವಹಿಸಿದ್ದೇವೆ,3
ನಾನು ನದಿಗೆ ಬಿದ್ದೆ,3
ಅದನ್ನು ಕೇಳಲು ಬೇಸರವಾಯಿತು,3
ಅವನು ಕೋಪಗೊಂಡಿದ್ದಾನೆ,0
ಚಾಲಕ ನನಗೆ ಇನ್ಸುಟ್ ಮಾಡಿದ,0
ಇದು ಸರಿಯಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ,0
ನನ್ನ ಅದೃಷ್ಟ ಚೆನ್ನಾಗಿಲ್ಲ,0
ನಮಗೆ ತುಂಬಾ ಕೆಟ್ಟ ಅನುಭವವಾಗಿದೆ,0
ನೀನು ನಿಷ್ಪ್ರಯೋಜಕ,0
ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮೆದುಳನ್ನು ಬಳಸಿ,0
ಅವಳ ಕರೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳದಿದ್ದಕ್ಕಾಗಿ ಅವಳು ನನ್ನ ಮೇಲೆ ಕೋಪಗೊಂಡಿದ್ದಾಳೆ,0
ಅವರು ನಿಮ್ಮ ಮೇಲೆ ತುಂಬಾ ಕೋಪಗೊಂಡಿದ್ದಾರೆ,0
ನೀವು ತುಂಬಾ ಸಹಾಯಕವಾಗುತ್ತಿಲ್ಲ,0
ನೀವು ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ ಪಾಕವಿಧಾನವನ್ನು ಹಾಳು ಮಾಡಿದ್ದೀರಿ,0
ಏನಾಗುತ್ತಿದೆ ಎಂದು ನಿಮಗೆ ತಿಳಿದಿದ್ದರೂ ನೀವು ನಮಗೆ ತಿಳಿಸಲಿಲ್ಲ,0
ಕಾರ್ಯಕ್ರಮವನ್ನು ನೋಡುವುದು ಸಮಯ ವ್ಯರ್ಥವಾಯಿತು,0
ನಿಮ್ಮಿಂದ ಈ ರೀತಿಯ ವರ್ತನೆಯನ್ನು ನಾವು ನಿರೀಕ್ಷಿಸಿರಲಿಲ್ಲ,0
ಇದು ತುಂಬಾ ನಿರಾಶಾದಾಯಕವಾಗಿತ್ತು,0
ಹೋಟೆಲ್ ತುಂಬಾ ಕೆಟ್ಟದಾಗಿತ್ತು,0
ಈ ಸ್ಥಳವು ಕೊಳಕು,0
ನನ್ನನ್ನು ಕ್ಷಮಿಸು,3
ನನ್ನ ಕುಟುಂಬ ಸತ್ತುಹೋಯಿತು,3
ಅವಳು ಇಂದು ಮದುವೆಯಾಗುತ್ತಿದ್ದಾಳೆ,1
ಅವರು ಅವಳ ಏಕೈಕ ಮಗುವನ್ನು ಅಪಹರಿಸಿದರು,3
ನಾನು ಯುದ್ಧವನ್ನು ಕಳೆದುಕೊಂಡೆ,3
ರಾಣಿ ಅಳುತ್ತಾಳೆ,3
ನನ್ನ ನೆಚ್ಚಿನ ಕಾರ್ಯಕ್ರಮ ಮುಕ್ತಾಯವಾಗಿದೆ,3
ಒಳ್ಳೆಯ ವಿಷಯಗಳು ಕೊನೆಗೊಳ್ಳುತ್ತವೆ,3
ನನ್ನ ನೆಚ್ಚಿನ ನಟ ನಿಧನರಾದರು,3
ನನ್ನ ಅಜ್ಜ ನನಗೆ ಅವರ ಆಶೀರ್ವಾದವನ್ನು ನೀಡಲಿಲ್ಲ,3
ಅವಳು ನನ್ನ ಮೇಲೆ ಕೋಪಗೊಂಡಿದ್ದಾಳೆ,3
ನಾನು ನನ್ನ ದೂರವಾಣಿಯನ್ನು ಕಳೆದುಕೊಂಡೆ,3
ನಾನು ನನ್ನ ದೂರವಾಣಿಯನ್ನು ಕಳೆದುಕೊಂಡೆ,3
ಅಪಘಾತದಲ್ಲಿ ಅನೇಕರು ಪ್ರಾಣ ಕಳೆದುಕೊಂಡರು,3
ನನ್ನ ಫೋನ್ ಚಾರ್ಜ್ ಖಾಲಿಯಾಗಿದೆ,3
ಅವನು ನನ್ನನ್ನು ಗೌರವಿಸುವುದಿಲ್ಲ,3
ಅವನು ನನ್ನನ್ನು ಹೊಡೆದನು,3
ನನ್ನ ತಾಯಿ ನನ್ನನ್ನು ಶಿಕ್ಷಿಸಿದಳು,3
ಕಾರ್ಯಕ್ರಮವು ತುಂಬಾ ಬೇಗ ಮುಗಿಯಿತು,3
ಅವಳು ನನಗೆ ಕಪಾಳಮೋಕ್ಷ ಮಾಡಿದಳು,3
ನಾವು ಇನ್ನು ಮಾತನಾಡುವುದಿಲ್ಲ,3
ನನ್ನ ತಂದೆ ನನ್ನೊಂದಿಗೆ ಮಾತನಾಡುತ್ತಿಲ್ಲ,3
ನಾವು ಪಂದ್ಯವನ್ನು ಕಳೆದುಕೊಂಡೆವು,3
ಅವರು ಮದುವೆಯ ಪ್ರಸ್ತಾಪವನ್ನು ತಿರಸ್ಕರಿಸಿದರು,3
ಅವನು ಅನಾಥ,3
ಅವನು ಕುರುಡ,3
ಅವನು ಜೀವನದಲ್ಲಿ ಒಂಟಿಯಾಗಿದ್ದಾನೆ,3
ಅವಳು ಶಾಲೆಯಲ್ಲಿ ಕಿರುಕುಳಕ್ಕೊಳಗಾದಳು,3
ಸಹೋದರರು ಹೋರಾಡಿದರು,3
ಇದು ಕೆಟ್ಟ ಅನುಭವಗಳಲ್ಲಿ ಒಂದಾಗಿತ್ತು,3
ನನಗೆ ಸಂತೋಷವಾಗಲಿಲ್ಲ,3
ನನಗೆ ಜೀವನದಲ್ಲಿ ಭರವಸೆ ಇಲ್ಲ,3
ಅನುಚಿತ ವರ್ತನೆಗಾಗಿ ಅವರನ್ನು ಅಮಾನತುಗೊಳಿಸಲಾಯಿತು,3
ಅವಳು ಅಳುತ್ತಾಳೆ,3
ಆಕೆಗೆ ಕ್ಯಾನ್ಸರ್ ಇದೆ,3
ಆಕೆಯ ಪೋಷಕರು ನಿರಾಶೆಗೊಂಡಿದ್ದಾರೆ,3
ಭಯೋತ್ಪಾದಕರ ದಾಳಿಯಲ್ಲಿ ಜನರು ಪ್ರಾಣ ಕಳೆದುಕೊಂಡರು,3
ದೋಣಿಯಲ್ಲಿದ್ದ ಅನೇಕ ಜನರು ಮುಳುಗಿದರು,3
ಅವಳು ತನ್ನ ಬೆರಳನ್ನು ಸುಟ್ಟು ಹಾಕಿದಳು,3
ನೀವು ನನಗೆ ಅನಾನುಕೂಲತೆಯನ್ನುಂಟುಮಾಡುತ್ತೀರಿ,3
ಅವರು ಅಪಘಾತವನ್ನು ಎದುರಿಸಿದರು,3
ರಾಜನು ತೀರಿಹೋದನು,3
ಇಂದಿಗೂ ಜನರು ತಾರತಮ್ಯ ಮಾಡುತ್ತಿದ್ದಾರೆ,3
ಅವಳು ಯಶಸ್ವಿಯಾಗಲಿಲ್ಲ,3
ಅವನು ಯಶಸ್ವಿಯಾಗಲಿಲ್ಲ,3
ಅವನು ಇನ್ನು ಮುಂದೆ ನನ್ನನ್ನು ಪ್ರೀತಿಸುವುದಿಲ್ಲ,3
ಅದು ನನ್ನ ಇಚ್ಛೆಗೆ ವಿರುದ್ಧವಾಗಿತ್ತು,3
ಅವಳ ಒಬ್ಬಳೇ ಮಗಳು ಬೇರೆ ದೇಶಕ್ಕೆ ಹೋದಳು,3
ಅವರು ನನ್ನನ್ನು ಶಾಲೆಯಲ್ಲಿ ಬೆದರಿಸುತ್ತಿದ್ದರು,3
ಚಿತ್ರವು ದೊಡ್ಡ ಫ್ಲಾಪ್ ಆಗಿತ್ತು,3
ನಾನು ತುಂಬಾ ಪ್ರಯತ್ನಿಸಿದೆ,3
ಈ ಸುದ್ದಿ ತುಂಬಾ ದುಃಖಕರವಾಗಿದೆ,3
ಅವರು ನನ್ನನ್ನು ನೋಯಿಸಿದರು,3
ರಾಣಿ ಬಹಳ ದುಃಖದಲ್ಲಿದ್ದಳು,3
ನನ್ನ ಅಜ್ಜಿಯರು ತೀರಿಕೊಂಡರು,3
ನನ್ನ ಬೆಕ್ಕು ಇಂದು ಸತ್ತಿದೆ,3
ಅವರು ಸೇತುವೆಯಿಂದ ಬಿದ್ದರು,3
ಅವನು ಸಾಲದಲ್ಲಿದ್ದಾನೆ,3
ಅವನ ಬಳಿ ಹಣವಿಲ್ಲ,3
ಅವನು ತುಂಬಾ ಬಡವ,3
ಅವರು ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಂಡರು,3
ಆಕೆಯ ಮಗ ಕೊಕೇನ್‌ಗೆ ವ್ಯಸನಿಯಾಗಿದ್ದಾನೆ,3
ಇದು ತುಂಬಾ ಮುಜುಗರದ ಸಂಗತಿ,3
ಅವರು ಬಹಳಷ್ಟು ಕೆಟ್ಟ ಅನುಭವಗಳನ್ನು ಹೊಂದಿದ್ದಾರೆ,3
ಯಾರೋ ಅವಳ ಎಲ್ಲಾ ವಸ್ತುಗಳನ್ನು ಕದ್ದಿದ್ದಾರೆ,3
ಅವನು ಬಡ ಕುಟುಂಬದಿಂದ ಬಂದವನು,3
ಅವರು ಅವನ ಇಡೀ ಕುಟುಂಬವನ್ನು ಕೊಂದರು,3
ಅವನು ನನ್ನನ್ನು ನಿರಾಸೆಗೊಳಿಸಿದನು,3
ಅವನು ಅವಳ ಕೈಯನ್ನು ಬಿಟ್ಟನು,3
ಅವನನ್ನು ಬೀದಿಯಲ್ಲಿ ಕೊಲ್ಲಲಾಯಿತು,3
ನಾನು ಇದನ್ನು ಮಾಡಲು ಒತ್ತಾಯಿಸಲಾಯಿತು,3
ಇದು ತುಂಬಾ ಕೆಟ್ಟ ಸುದ್ದಿ,3
ನನ್ನ ಹೃದಯ ನೋವು,3
ಇದು ತುಂಬಾ ದುಃಖದ ಸುದ್ದಿ,3
ನಾನು ಪರೀಕ್ಷೆಗೆ ಅಧ್ಯಯನ ಮಾಡಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ,3
ಈ ಹಾಡು ನನ್ನನ್ನು ಅಳುವಂತೆ ಮಾಡುತ್ತದೆ,3
ನಾನು ದುಃಖದ ಹಾಡನ್ನು ಕೇಳುತ್ತಿದ್ದೆ,3
ಈ ಕಥೆ ನನ್ನನ್ನು ಅಳುವಂತೆ ಮಾಡುತ್ತದೆ,3
ಟಿವಿ ಕಾರ್ಯಕ್ರಮದ ನನ್ನ ನೆಚ್ಚಿನ ಪಾತ್ರ ನಿಧನರಾದರು,3
ಸಂತೋಷವಾಗಿರಲು ನನಗೆ ತುಂಬಾ ಕಷ್ಟವಾಗುತ್ತಿದೆ,3
ನಮಗೆ ಇಂದು ಅಚ್ಚರಿಯ ಪರೀಕ್ಷೆ ಇದೆ,3
ನಮ್ಮ ರಜೆಯನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,3
ನಮ್ಮ ತಂಡವು ಪಂದ್ಯವನ್ನು ಕಳೆದುಕೊಂಡಿತು,3
ಕ್ಯಾಬ್ ಬುಕ್ ಮಾಡಿ,2
ಬೇಗ ರೈಲು ಟಿಕೆಟ್ ಬುಕ್ ಮಾಡಿ,2
ನನ್ನ ಕ್ಯಾಬ್ ಏಕೆ ಬರುತ್ತಿಲ್ಲ,2
ಇಂದಿನ ತಾಪಮಾನ ಏನು?,2
ನಾಳೆ ದೆಹಲಿಯಿಂದ ಮುಂಬೈಗೆ ಯಾವುದೇ ರೈಲು ಟಿಕೆಟ್ ಇದೆ,2
ಬೆಂಗಳೂರಿನಲ್ಲಿ ಯಾವುದಾದರೂ ತ್ರೀ ಸ್ಟಾರ್ ಹೋಟೆಲ್ ಇದೆಯೇ?,2
ಇಂದು ಮಳೆ ಬೀಳಲಿದೆಯೇ?,2
ನೀವು ಯಾವುದೇ ಕೂಪನ್‌ಗಳನ್ನು ಹೊಂದಿದ್ದೀರಾ?,2
ಬೆಳಿಗ್ಗೆ ಇಲ್ಲಿ ಮಳೆಯಾಯಿತು,2
ಇಲ್ಲಿಂದ ಮುಂಬೈಗೆ ಅಗ್ಗದ ವಿಮಾನ ಟಿಕೆಟ್ ಅನ್ನು ಬುಕ್ ಮಾಡಿ,2
ನೀವು ಕ್ಯಾಬ್ ಬುಕ್ ಮಾಡಿದ್ದೀರಾ?,2
ಇಂದು ಹವಾಮಾನ ಹೇಗಿದೆ,2
